"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","Hurricane on its way to the Florida Pan Handle with major elements arriving tomorrow. Could also hit, in later stag… https://t.co/xycrRUIBTh",FALSE,35154,NA,2018-10-09 16:00:04,TRUE,NA,"1049690971934511104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",8479,FALSE,FALSE,NA,NA
"12","Big announcement with my friend Ambassador Nikki Haley in the Oval Office at 10:30am.",FALSE,63051,NA,2018-10-09 14:18:47,FALSE,NA,"1049665483182694402",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13145,FALSE,FALSE,NA,NA
"13","Will be going to Iowa tonight for Rally, and more! The Farmers (and all) are very happy with USMCA!",FALSE,53087,NA,2018-10-09 13:10:01,FALSE,NA,"1049648174896504832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11386,FALSE,FALSE,NA,NA
"14","Great evening last night at the White House honoring Justice Kavanaugh and family. Our country is very proud of them!",FALSE,86115,NA,2018-10-09 12:37:55,FALSE,NA,"1049640099007356928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15552,FALSE,FALSE,NA,NA
"15","The paid D.C. protesters are now ready to REALLY protest because they haven’t gotten their checks - in other words,… https://t.co/3es06u6W6e",FALSE,87774,NA,2018-10-09 12:32:46,TRUE,NA,"1049638803177127936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24143,FALSE,FALSE,NA,NA
"16","https://t.co/4ySIkmfllE",FALSE,71771,NA,2018-10-09 01:34:56,FALSE,NA,"1049473255151755264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17754,FALSE,FALSE,NA,NA
"17","https://t.co/k2bOxapRtR",FALSE,57273,NA,2018-10-08 23:43:34,FALSE,NA,"1049445228694962176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14888,FALSE,FALSE,NA,NA
"18","Great to see @AGPamBondi launch a cutting-edge statewide school safety APP in Florida today - named by Parkland Sur… https://t.co/4PBXblZ0JW",FALSE,47139,NA,2018-10-08 19:44:49,TRUE,NA,"1049385141557030912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10821,FALSE,FALSE,NA,NA
"19","Every day, our police officers race into darkened allies, deserted streets, &amp; onto the doorsteps of the most harden… https://t.co/oaai3FVg0o",FALSE,59215,NA,2018-10-08 19:37:36,TRUE,NA,"1049383326975373312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14597,FALSE,FALSE,NA,NA
"20","We thank you. We salute you. We honor you. And we promise you: we will ALWAYS have your BACK – now and FOREVER!… https://t.co/RnvDOTLvu8",FALSE,64669,NA,2018-10-08 19:27:41,TRUE,NA,"1049380830395609090",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15025,FALSE,FALSE,NA,NA
