"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"769","We're seeing the fastest rise in sea-levels in nearly 3,000 years: https://t.co/MwO2QKE4GW #ActOnClimate",FALSE,5074,NA,2016-03-01 20:50:17,FALSE,NA,"704770760259166208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",2706,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"770","Get the facts on everything from a fair #SCOTUS nomination process to climate change: https://t.co/jCZzreLARW https://t.co/qnB5GLM8eC",FALSE,1986,NA,2016-03-01 18:37:51,FALSE,NA,"704737428796366848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",602,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"771","Today's the 55th birthday of the @PeaceCorps. Thanks to all who have served across the globe. #PeaceCorpsWeek2016",FALSE,3022,NA,2016-03-01 17:02:47,FALSE,NA,"704713505153392640",NA,"<a href=""https://www.thunderclap.it"" rel=""nofollow"">Thunderclap</a>","BarackObama",861,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"772","It's the Senate's duty to give the President's nominee a fair hearing and a timely vote. #DoYourJob https://t.co/yquRBNfS9k",FALSE,8586,NA,2016-02-29 23:05:20,FALSE,NA,"704442358058717185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",4331,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"773","""One-third of all U.S. presidents appointed a Supreme Court justice in an election year."" https://t.co/PY8dR1owzf (h/t @washingtonpost)",FALSE,2707,NA,2016-02-29 20:53:18,FALSE,NA,"704409128634966016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1402,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"774","Sign @OFA's petition to let the Senate know you demand a fair Supreme Court nomination process: https://t.co/SeDGtpwnU5",FALSE,1726,NA,2016-02-29 19:05:55,FALSE,NA,"704382105283788801",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",632,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"775","LIVE: President Obama is presenting the Medal of Honor to Senior Chief Special Warfare Operator Edward Byers. https://t.co/NGInOc0ccN",FALSE,1527,NA,2016-02-29 16:17:30,FALSE,NA,"704339724433911808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",425,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"776","Thanks to the #RecoveryAct, clean energy investments have created hundreds of thousands of jobs. https://t.co/U82fX6P2nB",FALSE,3858,NA,2016-02-26 23:08:52,FALSE,NA,"703356080932286464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1349,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"777","Our economy has come a long way, but there's more work to do—say you support common-sense economic policies: https://t.co/UzcGjwykjs",FALSE,1736,NA,2016-02-26 22:00:48,FALSE,NA,"703338952967598080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",586,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"778","Seven years ago, our economy was shedding nearly 800,000 jobs a day. We've come a long way. https://t.co/ueSHbf52YE",FALSE,3426,NA,2016-02-26 20:55:05,FALSE,NA,"703322414181036032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",1310,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"779","Our economy has added 14 million jobs over the longest streak of private-sector job growth on record. https://t.co/FwScd1Soxi",FALSE,5882,NA,2016-02-26 19:25:16,FALSE,NA,"703299811991138304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",2445,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
"780","LIVE: President Obama is highlighting the progress of the American economy. https://t.co/7noFkjk0F8",FALSE,1156,NA,2016-02-26 18:46:41,FALSE,NA,"703290100914860032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",392,FALSE,FALSE,NA,NA,"Washington, DC","en","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg"
